buurt_naam,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden
binnenstad-zuid,1504,2323,170,1940,213,35300.0
binnenstad-noord,595,856,44,729,83,30700.0
noordereiland,484,783,62,559,162,42000.0
het noorden,1132,1577,120,1281,176,24900.0
schildersbuurt,174,360,54,248,58,28700.0
bollebieste,975,1689,243,1130,316,24800.0
dieze-centrum,603,995,110,783,102,26500.0
bagijneweide,466,837,76,570,191,35500.0
hogenkamp,1938,3232,514,2248,470,25700.0
indischebuurt,592,1039,194,730,115,22200.0
meppelerstraatweg-zuid,264,379,44,317,18,20000.0
bedrijventerrein floresstraat,186,434,126,273,35,33700.0
wipstrik-noord,1304,3076,732,1866,478,40800.0
wipstrik-zuid,1856,3332,490,2115,727,29200.0
stationsbuurt,579,1357,211,973,173,36600.0
oud-assendorp,2115,4110,576,3222,312,30200.0
nieuw-assendorp,1418,3055,685,2044,326,30200.0
wezenlanden,556,1035,175,646,214,32800.0
pierik,1174,2141,379,1461,301,26600.0
bedrijventerrein marslanden-noord,14,37,7,28,2,
hanzeland,636,1131,117,801,213,34500.0
kamperpoort,1044,1809,187,1264,358,25500.0
veerallee,672,1870,484,1183,203,41300.0
bedrijventerrein voorst-a,43,54,0,54,0,
bedrijventerrein voorst-b,0,0,0,0,0,
spoolde,117,318,72,166,80,39600.0
oud-westenholte,1025,2533,624,1439,470,30800.0
westenholte-stins,1107,2654,579,1602,473,31000.0
vreugderijk,65,182,39,108,35,
bedrijventerrein voorst-c,1,5,0,5,0,
bedrijventerrein voorst-d,1,4,0,3,1,
frankhuis,2344,6644,2135,4161,348,35100.0
mastenbroek,19,57,12,38,7,
schoonhorst,1867,4306,1002,2776,528,33000.0
werkeren,1676,5292,2025,2900,367,37300.0
milligen,2820,7002,1833,4199,970,33900.0
de tippe,0,0,0,0,0,
breecamp,721,2245,875,1358,12,34100.0
breezicht,4,9,0,8,1,
stadsbroek,20,55,8,35,12,
holtenbroek iv,1662,3108,489,1754,865,23400.0
holtenbroek i,893,1896,472,1236,188,30700.0
holtenbroek ii,1382,2675,566,1886,223,24500.0
holtenbroek iii,1083,2284,498,1521,265,24600.0
aa-landen-zuid,1047,2195,405,1287,503,27200.0
aa-landen-midden,2066,3904,681,2028,1195,27100.0
aa-landen-noord,1597,3865,848,2012,1005,31900.0
aa-landen-oost,1455,3364,693,1823,848,30800.0
brinkhoek,265,639,116,310,213,62800.0
langenholte,44,123,21,85,17,
haerst,108,282,43,183,56,36300.0
berkum,1671,3761,752,1895,1114,35400.0
bedrijventerrein de vrolijkheid,4,8,2,6,0,
veldhoek,104,266,48,157,61,60500.0
kantorenterrein oosterenk,123,175,5,162,8,21100.0
bedrijventerrein hessenpoort,32,75,12,52,11,
tolhuislanden,55,174,43,111,20,
herfte,139,393,79,243,71,40400.0
bedrijventerrein marslanden-zuid,9,171,12,157,2,
wijthmen,246,604,112,370,122,33700.0
oud-schelle,486,1393,383,805,205,40100.0
schellerhoek,373,979,211,672,96,40700.0
schellerbroek,695,1442,231,912,299,34200.0
schellerlanden,1202,2607,437,1521,649,33700.0
oldenelerlanden-oost,1005,2390,548,1516,326,32100.0
oldenelerlanden-west,568,1467,319,971,177,39400.0
oldenelerbroek,1459,3305,639,2120,546,33400.0
schelle-zuid en oldeneel,68,174,30,91,53,
katerveer-engelse werk,205,647,148,339,160,68700.0
oud-ittersum,576,1460,335,848,277,33800.0
ittersumerlanden,1876,3859,713,2322,824,28300.0
ittersumerbroek,1006,2329,441,1518,370,33100.0
geren,453,808,107,614,87,26000.0
gerenlanden,1208,3061,715,1900,446,33800.0
gerenbroek,1192,3096,762,1938,396,33500.0
oude mars,29,129,40,83,6,
windesheim,155,393,90,243,60,33700.0
harculo en hoog-zuthem,141,515,85,269,161,39800.0
