Buurt_naam,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd) [TJ],Aardgasverbruik woningen [miljoen m3],Elektriciteitsverbruik woningen [GWh (miljoen kWh)],Aardgasverbruik woningen (temperatuurgecorrigeerd) [miljoen m3],CO2-uitstoot Woningen (elektriciteit) [kton],"CO2-uitstoot Woningen (aardgas, temperatuurgecorrigeerd) [kton]",CO2-uitstoot Woningen (aardgas) [kton],Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met verwarming op basis van aardgas  (benadering) [aantal],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],Vermogen geregistreerde zonnepanelen woningen [kW],Vermogen geregistreerde zonnepanelen per woning [Wattpiek],Wind op land fysiek opgesteld vermogen [MW],Percentage woningen met geregistreerde zonnepanelen [%],Huishoudens [aantal],Bevolking totaal [aantal],Gemiddeld inkomen per inwoner [€],Gemiddeld inkomen per huishouden [€]
Binnenstad-Zuid,53,1.5,3.3,1.7,1.2,3,2.7,0.78,0.22,1187,59,?,?,?,,?,1550,2295,34900,51700
Binnenstad-Noord,16,0.4,1.1,0.5,0.4,0.9,0.8,0.78,0.22,460,17,?,?,?,,?,590,845,32300,46300
Noordereiland,13,0.4,0.9,0.4,0.3,0.7,0.7,0.78,0.22,340,41,50,125,309,,12%,425,705,39200,65000
Het Noorden,28,0.8,1.5,0.9,0.5,1.6,1.4,0.78,0.22,1050,0,5,60,57,,0%,1065,1450,21200,28900
Schildersbuurt,5,0.1,0.4,0.2,0.1,0.3,0.3,0.78,0.22,173,0,5,20,114,,3%,190,355,25000,46700
Bollebieste,33,0.9,1.9,1,0.7,1.8,1.7,0.78,0.22,936,39,135,235,241,,14%,935,1725,19900,36700
Dieze-Centrum,20,0.6,1.2,0.6,0.5,1.1,1,0.78,0.22,523,0,25,70,122,,4%,620,955,25200,38800
Bagijneweide,17,0.5,1.1,0.5,0.4,0.9,0.8,0.78,0.22,419,0,20,75,165,,4%,500,830,33500,55600
Hogenkamp,59,1.7,3.4,1.9,1.3,3.3,3,0.78,0.22,1886,20,190,480,244,,10%,1905,3125,23100,37900
Indischebuurt,16,0.5,1.1,0.5,0.4,0.9,0.8,0.78,0.22,568,0,55,115,198,,9%,610,1045,18400,31500
Meppelerstraatweg-Zuid,6,0.2,0.4,0.2,0.1,0.3,0.3,0.78,0.22,265,0,?,?,?,,?,270,365,21700,29300
Bedrijventerrein Floresstraat,5,0.1,0.4,0.2,0.2,0.3,0.2,0.78,0.22,185,0,25,80,432,,14%,185,435,28700,67500
Wipstrik-Noord,63,1.8,3.4,2,1.3,3.5,3.2,0.78,0.22,1287,0,130,370,285,,10%,1335,3075,33200,76500
Wipstrik-Zuid,63,1.8,4,2,1.5,3.6,3.2,0.78,0.22,1832,0,185,505,273,,10%,1890,3375,26700,47700
Stationsbuurt,28,0.8,1.5,0.9,0.6,1.6,1.4,0.78,0.22,542,0,40,100,175,,7%,775,1350,32100,55900
Oud-Assendorp,80,2.3,4.5,2.5,1.7,4.5,4.1,0.78,0.22,1967,0,130,305,144,,6%,2500,4105,27000,44300
Nieuw-Assendorp,53,1.5,3,1.7,1.1,3,2.7,0.78,0.22,1382,0,145,310,220,,10%,1535,3060,24800,49400
Wezenlanden,16,0.5,1,0.5,0.4,0.9,0.8,0.78,0.22,284,0,130,175,376,,28%,505,905,29200,52300
Pierik,37,1,2,1.2,0.7,2.1,1.9,0.78,0.22,1135,0,300,1075,947,,26%,1135,2110,23300,43300
Bedrijventerrein Marslanden-Noord,?,?,?,?,?,?,?,0.78,0.22,?,?,5,15,-,,-,10,35,?,?
Hanzeland,16,0.5,1.3,0.5,0.5,0.9,0.8,0.78,0.22,483,0,50,135,213,,8%,660,1140,32200,55600
Kamperpoort,23,0.7,1.8,0.7,0.7,1.3,1.2,0.78,0.22,851,37,160,295,316,,17%,1000,1665,23000,38300
Veerallee,33,0.9,1.9,1.1,0.7,1.9,1.7,0.78,0.22,620,13,180,440,667,,27%,815,1825,33200,74300
Bedrijventerrein Voorst-A,1,0,0.1,0,0,0.1,0,0.78,0.22,35,0,?,?,?,,?,40,50,?,?
Bedrijventerrein Voorst-B,?,?,?,?,?,?,?,0.78,0.22,?,?,?,?,?,,?,0,0,?,?
Spoolde,7,0.2,0.4,0.2,0.2,0.4,0.3,0.78,0.22,112,1,25,105,913,,22%,120,315,28400,74500
Oud-Westenholte,41,1.2,2.6,1.3,1,2.3,2.1,0.78,0.22,960,40,175,555,550,,17%,1005,2505,23800,59300
Westenholte-Stins,40,1.1,2.7,1.3,1,2.3,2.1,0.78,0.22,1100,0,275,730,664,,25%,1110,2680,24000,57900
Vreugderijk,4,0.1,0.3,0.1,0.1,0.2,0.2,0.78,0.22,63,1,15,80,1231,,23%,65,185,28900,82300
Bedrijventerrein Voorst-C,?,?,?,?,?,?,?,0.78,0.22,?,?,?,?,?,,?,0,5,?,?
Bedrijventerrein Voorst-D,?,?,?,?,?,?,?,0.78,0.22,?,?,?,?,?,,?,0,5,?,?
Frankhuis,73,2.1,6.2,2.3,2.3,4.1,3.7,0.78,0.22,2025,205,725,2010,884,,32%,2290,6565,26200,75100
Mastenbroek,1,0,0.1,0,0,0.1,0.1,0.78,0.22,19,0,?,?,?,,?,20,60,?,?
Schoonhorst,55,1.6,4.5,1.8,1.6,3.1,2.8,0.78,0.22,1865,0,290,955,512,,16%,1855,4310,27400,63700
Werkeren,55,1.6,4.5,1.7,1.7,3.1,2.8,0.78,0.22,1424,110,620,2195,1403,,40%,1555,4990,26800,86000
Milligen,77,2.2,7.3,2.4,2.7,4.4,3.9,0.78,0.22,2505,56,455,1400,497,,16%,2815,7095,26900,67800
Tippe bij de IJssel,?,?,?,?,?,?,?,0.78,0.22,?,?,?,?,?,,?,5,5,?,?
Breecamp,?,?,1.9,?,0.7,?,?,0.78,0.22,6,107,300,1260,2118,,50%,605,1805,24400,72800
Breezicht,?,?,?,?,?,?,?,0.78,0.22,5,0,?,?,?,,?,0,5,?,?
Stadsbroek,2,0,0.1,0,0,0.1,0.1,0.78,0.22,19,0,5,20,1000,,25%,20,50,?,?
Holtenbroek IV,56,1.6,3.6,1.8,1.3,3.2,2.9,0.78,0.22,1394,249,135,460,277,,8%,1665,3175,19600,37400
Holtenbroek I,14,0.4,2.1,0.5,0.8,0.8,0.7,0.78,0.22,543,18,245,420,464,,27%,905,1890,25600,53500
Holtenbroek II,44,1.2,2.6,1.4,1,2.5,2.2,0.78,0.22,1375,0,200,495,360,,15%,1435,2710,20100,38000
Holtenbroek III,41,1.2,2.4,1.3,0.9,2.3,2.1,0.78,0.22,1080,0,55,145,134,,5%,1135,2300,19700,39900
Aa-landen-Zuid,37,1.1,2.7,1.2,1,2.1,1.9,0.78,0.22,1045,0,85,280,268,,8%,1070,2225,22400,46600
Aa-landen-Midden,71,2,4,2.2,1.5,4,3.6,0.78,0.22,1859,0,300,1005,487,,15%,2055,3855,23800,44600
Aa-landen-Noord,69,2,4.1,2.2,1.5,3.9,3.5,0.78,0.22,1595,0,215,635,398,,13%,1645,3905,24600,58400
Aa-landen-Oost,59,1.7,3.5,1.9,1.3,3.4,3,0.78,0.22,1450,0,300,790,545,,21%,1470,3355,24200,55200
Brinkhoek,23,0.7,1.2,0.7,0.4,1.3,1.2,0.78,0.22,254,5,55,295,1113,,21%,265,630,43700,103900
Langenholte,4,0.1,0.2,0.1,0.1,0.2,0.2,0.78,0.22,36,4,10,65,1444,,22%,40,125,35300,110300
Haerst,8,0.2,0.5,0.2,0.2,0.4,0.4,0.78,0.22,99,1,15,85,773,,14%,115,280,29900,72800
Berkum,75,2.1,4.3,2.4,1.6,4.3,3.8,0.78,0.22,1539,33,360,1185,716,,22%,1595,3725,28400,66300
Bedrijventerrein de Vrolijkheid,?,?,?,?,?,?,?,0.78,0.22,?,?,?,?,?,,?,5,10,?,?
Veldhoek,9,0.2,0.4,0.3,0.2,0.5,0.4,0.78,0.22,86,4,20,100,1000,,20%,105,250,38700,92100
Kantorenterrein Oosterenk,?,?,0.4,?,0.2,?,?,0.78,0.22,4,41,5,30,400,,7%,100,130,25400,33000
Bedrijventerrein Hessenpoort,2,0.1,0.1,0.1,0,0.1,0.1,0.78,0.22,26,0,?,?,?,,?,30,75,?,?
Tolhuislanden,4,0.1,0.2,0.1,0.1,0.2,0.2,0.78,0.22,47,0,5,25,455,9.9,9%,55,170,24000,74200
Herfte,10,0.3,0.6,0.3,0.2,0.6,0.5,0.78,0.22,119,3,30,165,1179,,21%,170,400,30900,72700
Bedrijventerrein Marslanden-Zuid,?,?,?,?,?,?,?,0.78,0.22,6,0,5,55,5500,,50%,15,160,?,?
Wijthmen,14,0.4,0.9,0.4,0.3,0.8,0.7,0.78,0.22,223,2,25,130,531,,10%,245,615,25200,63300
Oud-Schelle,24,0.7,1.5,0.8,0.6,1.4,1.2,0.78,0.22,470,5,115,395,814,,24%,515,1400,30000,81600
Schellerhoek,15,0.4,1.1,0.5,0.4,0.9,0.8,0.78,0.22,340,0,110,355,959,,30%,360,995,31500,87100
Schellerbroek,26,0.7,1.7,0.8,0.6,1.5,1.3,0.78,0.22,688,0,170,535,770,,24%,715,1485,30300,62900
Schellerlanden,45,1.3,3,1.4,1.1,2.5,2.3,0.78,0.22,1195,0,245,755,632,,21%,1210,2655,28400,62300
Oldenelerlanden-Oost,35,1,2.6,1.1,1,2,1.8,0.78,0.22,1005,0,195,590,587,,19%,1000,2385,25800,61500
Oldenelerlanden-West,23,0.7,1.7,0.7,0.6,1.3,1.2,0.78,0.22,559,11,160,605,1061,,28%,575,1480,29800,76700
Oldenelerbroek,49,1.4,3.6,1.5,1.3,2.7,2.5,0.78,0.22,1426,0,265,875,601,,18%,1410,3315,28500,67000
Schelle-Zuid en Oldeneel,5,0.1,0.3,0.2,0.1,0.3,0.3,0.78,0.22,61,1,15,100,1538,,23%,70,175,32900,82300
Katerveer-Engelse werk,14,0.4,0.8,0.4,0.3,0.8,0.7,0.78,0.22,196,2,50,220,1100,,25%,205,645,39900,125500
Oud-Ittersum,23,0.7,1.4,0.7,0.5,1.3,1.2,0.78,0.22,515,0,130,375,721,,25%,535,1325,25900,64100
Ittersumerlanden,51,1.4,4.1,1.6,1.5,2.9,2.6,0.78,0.22,1739,0,265,710,380,,14%,1830,3820,23000,48000
Ittersumerbroek,34,1,2.6,1.1,1,1.9,1.7,0.78,0.22,970,0,180,600,612,,18%,1005,2355,27900,65400
Geren,11,0.3,0.9,0.3,0.3,0.6,0.5,0.78,0.22,446,0,25,90,200,,6%,500,800,24500,39200
Gerenlanden,51,1.4,3.4,1.6,1.2,2.9,2.6,0.78,0.22,1205,0,305,895,743,,25%,1220,3095,26200,66500
Gerenbroek,44,1.2,3.2,1.4,1.2,2.5,2.2,0.78,0.22,1178,12,280,805,676,,24%,1205,3125,25600,66400
Oude Mars,2,0,0.1,0,0,0.1,0.1,0.78,0.22,17,4,20,95,3800,,80%,25,125,?,?
Windesheim,7,0.2,0.5,0.2,0.2,0.4,0.4,0.78,0.22,149,3,35,145,935,,23%,155,405,24900,65100
Harculo en Hoog-Zuthem,9,0.3,0.6,0.3,0.2,0.5,0.5,0.78,0.22,133,0,40,180,1286,,29%,135,500,30800,114100
